resort_id,check_in,check_out,resort_name,offering_name,unit_type,unit_name,product_id,original_points,current_points,available_count,savings,discount_percentage,extraction_date,fetch_timestamp
69,2025-10-14,2025-10-17,Club Wyndham Lake of the Ozarks,WVR Lake of the Ozarks,1 BEDROOM,1 Bedroom,PI|R000000000110,35400,14160,1,21240,60.0,2025-10-05 15:48:43,2025-10-05T15:35:31.520843
69,2025-10-14,2025-10-17,Club Wyndham Lake of the Ozarks,WVR Lake of the Ozarks,1 BEDROOM,1 Bedroom,PI|R000000000110,35400,14160,1,21240,60.0,2025-10-05 15:48:43,2025-10-05T15:35:56.354197
69,2025-11-22,2025-11-29,Club Wyndham Branson at The Falls,Branson at the Falls,STUDIO,Studio Deluxe,PI|R000000000046,56000,22400,1,33600,60.0,2025-10-05 15:48:43,2025-10-05T15:35:58.523436
69,2025-12-08,2025-12-10,Club Wyndham Mountain Vista,Mountain Vista,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000067,18000,18000,3,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:00.481344
69,2025-12-08,2025-12-10,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000067,30000,30000,9,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:00.481344
69,2025-12-08,2025-12-10,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000067,32000,32000,4,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:00.481344
69,2025-12-08,2025-12-10,Club Wyndham Mountain Vista,Mountain Vista,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000067,42000,42000,6,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:00.481344
69,2025-12-08,2025-12-10,Club Wyndham Mountain Vista,Mountain Vista,STUDIO,Studio Deluxe,PI|R000000000067,14000,14000,10,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:00.481344
69,2025-12-14,2025-12-21,Club Wyndham Mountain Vista,Mountain Vista,STUDIO,Studio Deluxe,PI|R000000000067,54000,54000,8,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:02.656245
69,2025-12-15,2025-12-19,Club Wyndham Mountain Vista,Mountain Vista,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000067,84000,84000,13,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:04.708413
69,2025-12-15,2025-12-19,Club Wyndham Mountain Vista,Mountain Vista,STUDIO,Studio Deluxe,PI|R000000000067,28000,28000,8,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:04.708413
69,2025-12-16,2025-12-20,Club Wyndham Mountain Vista,Mountain Vista,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000067,88500,88500,9,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:06.674480
69,2025-12-16,2025-12-20,Club Wyndham Mountain Vista,Mountain Vista,STUDIO,Studio Deluxe,PI|R000000000067,30500,30500,8,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:06.674480
