resort_id,resort_name,check_in,check_out,total_available_units,unit_types_available,min_points_required,max_points_required,accommodation_options
69,Club Wyndham Branson at The Falls,2025-11-22,2025-11-29,1,STUDIO,22400,22400,1
69,Club Wyndham Lake of the Ozarks,2025-10-14,2025-10-17,2,1 BEDROOM,14160,14160,2
69,Club Wyndham Mountain Vista,2025-12-08,2025-12-10,32,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM, STUDIO",14000,42000,5
69,Club Wyndham Mountain Vista,2025-12-14,2025-12-21,8,STUDIO,54000,54000,1
69,Club Wyndham Mountain Vista,2025-12-15,2025-12-19,21,"3 BEDROOM, STUDIO",28000,84000,2
69,Club Wyndham Mountain Vista,2025-12-16,2025-12-20,17,"3 BEDROOM, STUDIO",30500,88500,2
69,Club Wyndham Mountain Vista,2025-12-18,2025-12-22,8,STUDIO,32000,32000,1
69,Club Wyndham Mountain Vista,2025-12-19,2025-12-22,28,"2 BEDROOM, STUDIO",25000,61000,3
69,Club Wyndham Mountain Vista,2025-12-19,2025-12-24,25,"2 BEDROOM, STUDIO",37000,88000,3
69,Club Wyndham Mountain Vista,2025-12-19,2025-12-26,25,"2 BEDROOM, STUDIO",49000,115000,3
69,Club Wyndham Mountain Vista,2025-12-20,2025-12-23,49,"1 BEDROOM, 2 BEDROOM, STUDIO",21500,50750,4
69,Club Wyndham Mountain Vista,2025-12-20,2025-12-24,44,"1 BEDROOM, 2 BEDROOM, STUDIO",27500,64250,4
69,Club Wyndham Mountain Vista,2025-12-21,2025-12-24,46,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM, STUDIO",18000,45000,5
69,Club Wyndham Mountain Vista,2025-12-21,2025-12-26,44,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM, STUDIO",30000,75000,5
70,Club Wyndham Bonnet Creek,2026-04-08,2026-04-12,392,"1 BEDROOM, 2 BEDROOM",79000,101000,3
70,Club Wyndham Bonnet Creek,2026-04-09,2026-04-12,416,"1 BEDROOM, 2 BEDROOM",59000,106000,4
70,Club Wyndham Cypress Palms,2025-11-24,2025-12-01,1,1 BEDROOM,37800,37800,1
70,Club Wyndham Cypress Palms,2025-11-27,2025-12-01,1,1 BEDROOM,25200,25200,1
70,Club Wyndham Cypress Palms,2026-04-08,2026-04-12,203,"1 BEDROOM, 2 BEDROOM",63000,156000,6
70,Club Wyndham Cypress Palms,2026-04-09,2026-04-12,205,"1 BEDROOM, 2 BEDROOM",52500,128000,6
70,Club Wyndham Emerald Grande at Destin,2025-12-30,2026-01-02,1,3 BEDROOM,117000,117000,1
70,Club Wyndham Kingstown Reef,2026-04-08,2026-04-12,7,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM, 4 BEDROOM",208000,384000,4
70,Club Wyndham Kingstown Reef,2026-04-09,2026-04-12,7,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM, 4 BEDROOM",169000,312000,4
70,Club Wyndham Ocean Walk,2025-12-04,2025-12-08,118,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM",21600,53800,7
70,Club Wyndham Ocean Walk,2025-12-08,2025-12-12,137,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM",32000,90400,7
70,Club Wyndham Ocean Walk,2025-12-14,2025-12-17,193,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM",24000,67800,7
70,Club Wyndham Ocean Walk,2025-12-14,2025-12-20,177,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM",58500,156000,7
70,Club Wyndham Ocean Walk,2025-12-31,2026-01-08,12,"1 BEDROOM, 2 BEDROOM",93000,200000,2
70,Club Wyndham Ocean Walk,2026-01-04,2026-01-08,165,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM",36000,112000,7
70,Club Wyndham Ocean Walk,2026-01-20,2026-02-02,28,"1 BEDROOM, 2 BEDROOM",149000,350000,3
70,Club Wyndham Ocean Walk,2026-01-23,2026-01-25,55,"1 BEDROOM, 2 BEDROOM",37000,87000,5
70,Club Wyndham Ocean Walk,2026-02-07,2026-02-10,143,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM",37500,101500,7
70,Club Wyndham Panama City Beach,2025-12-30,2026-01-02,25,"1 BEDROOM, 2 BEDROOM",67800,126000,5
